id,config|pretrain_id,config|checkpoint,config|n_finetune,config|finetune_dataset,config|finetune_labels,config|r_max,config|num_layers,config|num_features,config|l_max,config|seed,config|beta,config|ema_decay,config|batch_size,result|train|cell_energy_rmse,result|train|scaled_energy_rmse,result|train|per_atom_energy_rmse,result|train|force_rmse,result|val|cell_energy_rmse,result|val|scaled_energy_rmse,result|val|per_atom_energy_rmse,result|val|force_rmse,result|test|cell_energy_rmse,result|test|scaled_energy_rmse,result|test|per_atom_energy_rmse,result|test|force_rmse,result|num_params,result|best_epoch,result|num_epochs,metadata|timing_marks,metadata|timing|training|start,metadata|timing|training|end,metadata|timing|training|duration,metadata|timing|evaluation|start,metadata|timing|evaluation|end,metadata|timing|evaluation|duration
23.06.09-19.58.16-897913,23.06.09-08.13.03-677890,best,100,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.217276653380569,0.3722909701499322,0.0475697790040069,0.719864011459428,4.651143847604044,0.4998559944652432,0.0585792584854418,0.8869150834157996,4.324955260238009,0.4873845598599899,0.0635976548209867,0.8680466215936093,73784,12,49,"[('start', 1686337096.898038), ('end', 1686337265.52176)]",1686337096.903933,1686337170.829265,73.92533206939697,1686337170.829297,1686337265.521617,94.69231986999512
23.06.09-20.01.05-530722,23.06.09-08.13.03-677890,best,200,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.6203359042216015,0.4141437707147843,0.0520910617609173,0.7029017167023215,4.153254732892979,0.4484795378714482,0.0523694073074167,0.8387420760721056,3.8628299667878543,0.4372572070487084,0.0557015532905878,0.8253590095721175,73784,15,53,"[('start', 1686337265.530848), ('end', 1686337514.613931)]",1686337265.536402,1686337406.888908,141.3525059223175,1686337406.888939,1686337514.613817,107.72487807273863
23.06.09-20.05.14-623042,23.06.09-08.13.03-677890,best,400,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.4564829541048425,0.3851275672158732,0.0478684134131221,0.6799726696751333,3.994758335852175,0.4319000628957681,0.0504607542533116,0.8081936584513145,3.6724346588173926,0.4175290533842222,0.0525355261624352,0.7932184057666732,73784,18,51,"[('start', 1686337514.62316), ('end', 1686337907.474236)]",1686337514.628753,1686337772.777738,258.1489851474762,1686337772.777777,1686337907.474108,134.69633102416992
23.06.09-20.11.47-483665,23.06.09-08.13.03-677890,best,800,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.356150907545965,0.3838592105384565,0.0482234089516508,0.6704190416218994,3.99547785033325,0.4275407569539236,0.0493516059782401,0.7760598726622566,3.6438690658699553,0.4120887115951346,0.0510318471199508,0.7627733501821982,73784,24,54,"[('start', 1686337907.483794), ('end', 1686338665.738398)]",1686337907.489366,1686338478.089621,570.6002550125122,1686338478.089658,1686338665.738281,187.6486229896545
23.06.09-20.24.25-747979,23.06.09-08.13.03-677890,best,1600,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.311816109088044,0.3810533134725986,0.0479091348491121,0.6579736653689037,3.891882360620642,0.4161493747744717,0.0482596526879977,0.7499851547427125,3.611752445963925,0.4071042288820209,0.0504382681414253,0.7345951867683657,73784,37,71,"[('start', 1686338665.748094), ('end', 1686340418.225716)]",1686338665.753657,1686340127.243796,1461.4901390075684,1686340127.243831,1686340418.225581,290.9817500114441
23.06.09-20.53.38-235923,23.06.09-08.13.03-677890,best,3200,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,3.07320159822924,0.3502128641226976,0.0435589738341795,0.6344592828304628,3.68484300023948,0.3917967555505006,0.045412136626451,0.7117438223606275,3.2448965743171363,0.3681895950832762,0.0455440768458965,0.6992070158575174,73784,88,92,"[('start', 1686340418.236252), ('end', 1686345414.037574)]",1686340418.24208,1686344887.068229,4468.826148986816,1686344887.068257,1686345414.037523,526.9692659378052
23.06.11-03.47.56-232531,23.06.09-22.16.54-046769,best,25,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,8.415764413048635,0.715757587642113,0.0886879327189515,0.8267199634558925,8.399352474627348,0.8755691539379495,0.1182986456587286,1.1990495473225995,7.397872059242191,0.836438465754004,0.1319478539515901,1.2195678926763296,73784,59,90,"[('start', 1686451676.232653), ('end', 1686451828.090551)]",1686451676.238462,1686451744.351894,68.11343193054199,1686451744.351922,1686451828.090427,83.7385048866272
23.06.11-03.50.28-100421,23.06.09-22.16.54-046769,best,50,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,7.580848227972307,0.6725944834168264,0.092235665199783,0.8830759401131174,9.040056717360844,0.9387952746782378,0.12659358894044,1.149854572825155,7.898788713568793,0.8866487492768431,0.1422575904278892,1.130185433196583,73784,41,77,"[('start', 1686451828.100531), ('end', 1686451994.710746)]",1686451828.106056,1686451909.094745,80.98868894577026,1686451909.094775,1686451994.71058,85.61580514907837
23.06.11-03.53.14-720718,23.06.09-22.16.54-046769,best,100,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,5.910130295733234,0.5883567210503644,0.0793901206851312,0.8303127664305191,6.9911476435801605,0.7310775762750614,0.0976792535811205,1.0180061937078655,6.4920029065458165,0.7247773243074934,0.1168077475298647,1.0107790939589645,73784,40,74,"[('start', 1686451994.720825), ('end', 1686452209.398116)]",1686451994.726331,1686452117.789633,123.0633020401001,1686452117.789666,1686452209.397934,91.60826802253725
23.06.11-03.56.49-408198,23.06.09-22.16.54-046769,best,200,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,5.246451389547154,0.5679932447069506,0.0795021804486008,0.7863772009443484,5.730026678448448,0.6035830138512439,0.0759751170366511,0.9395104164856248,5.314012888245641,0.5952567629272987,0.0895983860341403,0.92679003439039,73784,48,78,"[('start', 1686452209.408311), ('end', 1686452553.286569)]",1686452209.413808,1686452448.053206,238.63939785957336,1686452448.053242,1686452553.286376,105.23313403129578
23.06.11-04.02.33-297060,23.06.09-22.16.54-046769,best,400,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,5.279233258001637,0.5575061126516477,0.0771917859550456,0.8003438694840204,5.728613365874829,0.6072758652878156,0.0792391173322496,0.9009777848339652,5.211885025024338,0.5862363863944907,0.0877885729339018,0.8806901159112236,73784,32,67,"[('start', 1686452553.297172), ('end', 1686453087.563926)]",1686452553.302705,1686452956.714249,403.4115438461304,1686452956.714282,1686453087.563768,130.84948587417605
23.06.11-04.11.27-574365,23.06.09-22.16.54-046769,best,800,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,4.52606926162391,0.4980338948911392,0.0627733770617014,0.7096455383683937,5.165729455351729,0.5452285196559381,0.063632802276384,0.8290533932044512,4.638096352964767,0.5131099941364673,0.0645475634572918,0.808570156877935,73784,66,86,"[('start', 1686453087.574473), ('end', 1686454282.107826)]",1686453087.579946,1686454098.018046,1010.438099861145,1686454098.018083,1686454282.107668,184.0895848274231
23.06.11-04.31.22-118431,23.06.09-22.16.54-046769,best,1600,C-GAP-17,dft,4.0,4,32,1,42,4,0.99,10,4.180621218031201,0.469267039515645,0.0596645525647618,0.722997128930981,4.795211984921518,0.5104117473153981,0.0596938833710673,0.7924972035481143,4.418268595050487,0.4882380610645512,0.0613947139349707,0.7793616350979566,73784,47,85,"[('start', 1686454282.118541), ('end', 1686456741.923081)]",1686454282.124049,1686456455.855439,2173.7313899993896,1686456455.855476,1686456741.922927,286.0674510002136
